bgg_id,name,award,jahrgang
2240,Mad Magazine Card Game,sdj,1979
1329,Hyle,ksdj,1979
364,Samarkand,sdj,1980
7106,Tabu: The Game of Aztecs,ksdj,1980
5082,Rush Hour,sdj,1981
6937,1829 Northern Board,ksdj,1981
2653,Survive: Escape from Atlantis!,sdj,1982
1452,Mhing,ksdj,1982
28905,Dostihy a sázky,sdj,1983
2996,Dodge City,ksdj,1983
934,Die Kette von Saba,sdj,1984
1465,Wizard,ksdj,1984
2281,Pictionary,sdj,1985
18794,SuperGang,ksdj,1985
414,Around the World in 80 Days,sdj,1986
9272,Jade König,ksdj,1986
1950,The Mysteries of Peking,sdj,1987
1396,Ben Hur,ksdj,1987
943,Ligretto,sdj,1988
1029,Lieber bairisch sterben,ksdj,1988
494,Ave Caesar,sdj,1989
167,Dicke Kartoffeln,ksdj,1989
2310,Cash,sdj,1990
561,Flußpiraten,ksdj,1990
9619,Ex Libris,sdj,1991
215,Tichu,ksdj,1991
201,The Rose King,sdj,1992
305,Der Fliegende Holländer,ksdj,1992
1419,Pylos,sdj,1993
249,Lifeboats,ksdj,1993
109,Wettstreit der Baumeister,sdj,1994
18,RoboRally,ksdj,1994
9194,Personality,sdj,1995
915,Mystery of the Abbey,ksdj,1995
2604,Compatibility,sdj,1996
200,Entdecker,ksdj,1996
3119,Haste Worte?,sdj,1997
124,Primordial Soup,ksdj,1997
206,Jalape-NO!,sdj,1998
3,Samurai,ksdj,1998
8651,Pi mal Daumen,sdj,1999
51,Ricochet Robots,ksdj,1999
760,Battle Line,sdj,2000
555,The Princes of Florence,ksdj,2000
2655,Hive,sdj,2001
1261,Medina,ksdj,2001
3228,Pueblo,sdj,2002
3307,Wallenstein,ksdj,2002
7805,Fearsome Floors,sdj,2003
8147,Maka Bana,ksdj,2003
9220,Saboteur,sdj,2004
10547,Betrayal at House on the Hill,ksdj,2004
15818,Pickomino,sdj,2005
15817,Manila,ksdj,2005
27225,Bananagrams,sdj,2006
21763,Mr. Jack,ksdj,2006
27172,Ponte del Diavolo,sdj,2007
27162,Kingsburg,ksdj,2007
38054,Snow Tails,sdj,2008
37904,Formula D,ksdj,2008
41916,The Magic Labyrinth,sdj,2009
144955,Murder in Greenrock Village: Theatre,ksdj,2009
72287,Mr. Jack Pocket,sdj,2010
65515,Nuns on the Run,ksdj,2010
70919,Takenoko,sdj,2011
100901,Flash Point: Fire Rescue,ksdj,2011
118247,Lucky Numbers,sdj,2012
121921,Robinson Crusoe: Adventures on the Cursed Island,ksdj,2012
150145,Skull King,sdj,2013
128621,Viticulture,ksdj,2013
169654,Deep Sea Adventure,sdj,2014
161970,Alchemists,ksdj,2014
181304,Mysterium,sdj,2015
172818,Above and Below,ksdj,2015
199478,Flamme Rouge,sdj,2016
169786,Scythe,ksdj,2016
226518,Exit: The Game – The Sunken Treasure,sdj,2017
226522,Exit: The Game – Dead Man on the Orient Express,ksdj,2017
225694,Decrypto,sdj,2018
255675,Exit: The Game – The Catacombs of Horror,ksdj,2018
276459,Kensington,sdj,2019
283934,Exit: The Game – Theft on the Mississippi,ksdj,2019
313531,Rustling Leaves,sdj,2020
279537,The Search for Planet X,ksdj,2020
343322,Exit: The Game – Advent Calendar: The Hunt for the Golden Book,sdj,2021
341583,Exit: The Game – The Return to the Abandoned Cabin,ksdj,2021
345972,Cat in the Box: Deluxe Edition,sdj,2022
366318,Exit: The Game – The Disappearance of Sherlock Holmes,ksdj,2022
392023,Mycelia,sdj,2023
388329,Waypoints,ksdj,2023
