num_games,num_games_ranked,num_votes_total,avg_rating,num_votes_dummy,min_mse,commit,file_name,datetime
97283,19851,16564899,7.0418040560579325,1645.3367680310748,2.989917872416558,8bd92ac5f60cea4478ba2cf30a6a10e622050d43,scraped/bgg_GameItem.jl,2020-10-17 01:46:58+00:00
97280,19850,16564423,7.041816913342529,1645.323557403708,2.9898669000290616,b40f112804818163fe12f1b1f39b12c11e64947b,scraped/bgg_GameItem.jl,2020-10-16 01:33:07+00:00
97162,19846,16555418,7.041361083107658,1645.2454194426075,2.989069512170407,55b38a7430b139d5ba5e8f9e1c61bb25ac7747d5,scraped/bgg_GameItem.jl,2020-10-15 01:12:57+00:00
97158,19836,16554788,7.041375856656697,1645.179038489141,2.989040792235035,27500cb2237f4e838dc8067185435d674d91c5bc,scraped/bgg_GameItem.jl,2020-10-14 01:34:44+00:00
97153,19836,16535623,7.04112069806502,1644.588255882217,2.988197531044444,cc3be1ae2fa13d5c6437c6442285e610cf3946d1,scraped/bgg_GameItem.jl,2020-10-13 01:51:52+00:00
97147,19834,16525667,7.0411642263716185,1641.6270941379018,2.9971041736398187,5bfcd34add0c9e26397feb08181f023923c2fd26,scraped/bgg_GameItem.jl,2020-10-12 02:06:44+00:00
97142,19830,16520610,7.041206853109541,1639.8704767226711,3.0001879881507985,f966a9da78dadd6e565812d6c5c7887042a915fb,scraped/bgg_GameItem.jl,2020-10-11 01:28:36+00:00
97140,19825,16517742,7.0412125406935155,1639.2269738018058,2.999145985794037,dff5b9ec14357a34ba2d38eb027de06e9021d582,scraped/bgg_GameItem.jl,2020-10-10 01:20:58+00:00
97137,19812,16516405,7.0412376757986985,1639.0080757438682,2.9992042891551907,3f84929bc26707cce5eb7068af89312c9976b0ea,scraped/bgg_GameItem.jl,2020-10-09 01:13:30+00:00
97096,19804,16509837,7.0409599799991955,1638.7529432773135,2.9990432153497464,fdceca324fd5b7985579699c2a2131417dfd20df,scraped/bgg_GameItem.jl,2020-10-08 01:42:20+00:00
97095,19799,16509475,7.040979462327543,1638.6459678411022,3.0007152952808527,0c12ff561f1d8e14a667b588075ab1eec3921cd7,scraped/bgg_GameItem.jl,2020-10-07 01:32:49+00:00
97094,19796,16509308,7.040977624066375,1638.6082349344626,3.0006691117440805,388b2946b6f7213fa7de6664e882e81d371a246e,scraped/bgg_GameItem.jl,2020-10-06 01:23:31+00:00
97058,19795,16506316,7.040844564606058,1638.230055943086,3.0031692626787883,8b419c553164eb7d8ce5325f3086cc7f29f5b563,scraped/bgg_GameItem.jl,2020-10-05 01:11:31+00:00
97058,19797,16506127,7.040824904876837,1638.1735280155674,3.0033405567943925,bf62df3638761682634ee534c9b2d49f3377089d,scraped/bgg_GameItem.jl,2020-10-04 01:47:18+00:00
97054,19797,16505844,7.040824094111152,1638.1730198859714,3.0033135119619843,96ae32ad291357d6bdd30cad946f2a85b88b0237,scraped/bgg_GameItem.jl,2020-10-03 01:40:16+00:00
96968,19796,16480914,7.040376493427488,1636.34641761887,3.007344014999635,f430c31f5bd8c8122f63e45e3fb13589757cfc94,scraped/bgg_GameItem.jl,2020-10-02 01:27:48+00:00
96961,19796,16465028,7.0404941269926775,1634.043769538357,3.0128764070974006,6552a6f1e525a39b4aa3aa1fc6eb02a930e7e6f7,scraped/bgg_GameItem.jl,2020-10-01 01:18:30+00:00
96888,19794,16451791,7.040144138346396,1633.5939198731921,3.008209757380792,d71ed268a543bb2950b7aee178e0924c20dc31a7,scraped/bgg_GameItem.jl,2020-09-30 01:13:54+00:00
96881,19789,16449009,7.040204344949291,1633.4467530250095,3.0064034623544487,a36253e3307389297ee57646c98fa465022d7a82,scraped/bgg_GameItem.jl,2020-09-29 01:04:00+00:00
96871,19771,16447261,7.040243869820028,1633.3101626485131,3.0037483479862654,6320739e5014314014de068640ed551eabc17929,scraped/bgg_GameItem.jl,2020-09-28 01:26:37+00:00
96864,19759,16446278,7.040319292562732,1633.2848750054382,3.00276148292566,4519655f33c0e2c3bcd4296c74dcf46f461d9098,scraped/bgg_GameItem.jl,2020-09-27 01:19:47+00:00
96864,19757,16445935,7.0403481198575815,1633.2813367247127,3.0026321643041025,bae11337600daab20f2b75c3d3cf59944e75746f,scraped/bgg_GameItem.jl,2020-09-26 01:12:13+00:00
96842,19755,16445164,7.040358765147616,1633.2253336905978,3.00218206610546,ac1b2aebd7b88d0b38b53546f5fcd5e777a72033,scraped/bgg_GameItem.jl,2020-09-25 01:32:34+00:00
96817,19749,16442139,7.0403149030299526,1633.137941267296,3.001260020778506,cc61b418cd55ffa8dc2c01b46b6746aecc8dcb87,scraped/bgg_GameItem.jl,2020-09-24 01:25:19+00:00
96817,19750,16441358,7.040363694665003,1633.1137657165073,3.0007179220395046,3c593bfcab8b0d67c4b60330d86aa51faa766995,scraped/bgg_GameItem.jl,2020-09-23 01:18:43+00:00
